mode	family	name	batch	fortran_ns	native_ns	ratio	status
SAME	A0	A0_real	1	28.992	36.341	1.2535	PASS
SAME	A0	A0_negative_axis	1	29.866	35.995	1.2052	PASS
SAME	A0	A0_complex	1	66.629	69.964	1.0500	PASS
SAME	A0	A0_scaleless	1	10.198	17.452	1.7114	FAIL
SAME	A0	A0_complex_mu_0.01	1	66.268	69.964	1.0558	PASS
SAME	A0	A0_complex_mu_10000	1	66.219	69.969	1.0566	PASS
HETERO	A0	all	1	46.415	49.446	1.0653	PASS
SAME	B0	B0_euclidean	1	101.079	102.019	1.0093	PASS
SAME	B0	B0_timelike	1	108.119	101.026	0.9344	PASS
SAME	B0	B0_complex	1	277.402	246.508	0.8886	PASS
SAME	B0	B0_one_massless_onshell	1	32.783	49.273	1.5030	FAIL
SAME	B0	B0_scaleless	1	12.021	20.383	1.6956	FAIL
SAME	B0	B0_timelike_mu_0.01	1	110.169	104.816	0.9514	PASS
SAME	B0	B0_timelike_mu_10000	1	110.435	104.833	0.9493	PASS
HETERO	B0	all	1	109.234	103.718	0.9495	PASS
SAME	dB0	dB0_euclidean	1	118.885	117.337	0.9870	PASS
SAME	dB0	dB0_timelike	1	117.706	122.298	1.0390	PASS
SAME	dB0	dB0_complex	1	232.993	299.764	1.2866	PASS
SAME	dB0	dB0_one_massless_onshell	1	38.428	49.341	1.2840	PASS
SAME	dB0	dB0_timelike_mu_0.01	1	119.407	125.690	1.0526	PASS
SAME	dB0	dB0_timelike_mu_10000	1	119.295	129.327	1.0841	PASS
HETERO	dB0	all	1	124.626	141.646	1.1366	PASS
SAME	C0	C0_real_euclidean	1	3340.030	3761.850	1.1263	PASS
SAME	C0	C0_real_timelike	1	2024.792	3302.400	1.6310	FAIL
SAME	C0	C0_complex	1	3452.840	4124.216	1.1944	PASS
SAME	C0	C0_massless_ir	1	83.134	35.680	0.4292	PASS
SAME	C0	C0_complex_mu_0.01	1	3461.239	4112.000	1.1880	PASS
SAME	C0	C0_complex_mu_10000	1	3437.016	4137.609	1.2038	PASS
HETERO	C0	all	1	2665.234	3256.197	1.2217	PASS
SAME	D0	D0_real_euclidean	1	5561.578	4612.410	0.8293	PASS
SAME	D0	D0_real_timelike	1	959.491	3672.757	3.8278	FAIL
SAME	D0	D0_complex	1	40044.697	60962.641	1.5224	FAIL
SAME	D0	D0_massless_ir	1	88.143	54.599	0.6194	PASS
SAME	D0	D0_complex_mu_0.01	1	40018.376	60883.449	1.5214	FAIL
SAME	D0	D0_complex_mu_10000	1	39966.271	60860.354	1.5228	FAIL
HETERO	D0	all	1	21170.537	31933.720	1.5084	FAIL
