mode	family	name	batch	fortran_ns	native_ns	ratio	status
SAME	A0	A0_real	1	28.992	70.391	2.4279	FAIL
SAME	A0	A0_negative_axis	1	29.866	70.449	2.3589	FAIL
SAME	A0	A0_complex	1	66.629	77.001	1.1557	PASS
SAME	A0	A0_scaleless	1	10.198	13.893	1.3624	PASS
SAME	A0	A0_complex_mu_0.01	1	66.268	77.052	1.1627	PASS
SAME	A0	A0_complex_mu_10000	1	66.219	77.006	1.1629	PASS
HETERO	A0	all	1	46.415	65.028	1.4010	PASS
SAME	B0	B0_euclidean	1	101.079	245.200	2.4258	FAIL
SAME	B0	B0_timelike	1	108.119	244.780	2.2640	FAIL
SAME	B0	B0_complex	1	277.402	260.348	0.9385	PASS
SAME	B0	B0_one_massless_onshell	1	32.783	99.551	3.0367	FAIL
SAME	B0	B0_scaleless	1	12.021	27.657	2.3007	FAIL
SAME	B0	B0_timelike_mu_0.01	1	110.169	249.166	2.2617	FAIL
SAME	B0	B0_timelike_mu_10000	1	110.435	248.841	2.2533	FAIL
HETERO	B0	all	1	109.234	198.507	1.8173	FAIL
SAME	dB0	dB0_euclidean	1	118.885	343.621	2.8904	FAIL
SAME	dB0	dB0_timelike	1	117.706	354.199	3.0092	FAIL
SAME	dB0	dB0_complex	1	232.993	398.454	1.7102	FAIL
SAME	dB0	dB0_one_massless_onshell	1	38.428	113.993	2.9664	FAIL
SAME	dB0	dB0_timelike_mu_0.01	1	119.407	365.488	3.0609	FAIL
SAME	dB0	dB0_timelike_mu_10000	1	119.295	366.589	3.0730	FAIL
HETERO	dB0	all	1	124.626	322.257	2.5858	FAIL
SAME	C0	C0_real_euclidean	1	3340.030	6997.696	2.0951	FAIL
SAME	C0	C0_real_timelike	1	2024.792	24957.479	12.3259	FAIL
SAME	C0	C0_complex	1	3452.840	7356.440	2.1305	FAIL
SAME	C0	C0_massless_ir	1	83.134	384.371	4.6235	FAIL
SAME	C0	C0_complex_mu_0.01	1	3461.239	7371.751	2.1298	FAIL
SAME	C0	C0_complex_mu_10000	1	3437.016	7348.561	2.1381	FAIL
HETERO	C0	all	1	2665.234	9147.919	3.4323	FAIL
SAME	D0	D0_real_euclidean	1	5561.578	23565.391	4.2372	FAIL
SAME	D0	D0_real_timelike	1	959.491	23805.372	24.8104	FAIL
SAME	D0	D0_complex	1	40044.697	413847.212	10.3346	FAIL
SAME	D0	D0_massless_ir	1	88.143	1077.624	12.2259	FAIL
SAME	D0	D0_complex_mu_0.01	1	40018.376	419569.258	10.4844	FAIL
SAME	D0	D0_complex_mu_10000	1	39966.271	436116.503	10.9121	FAIL
HETERO	D0	all	1	21170.537	227028.546	10.7238	FAIL
