mode	family	name	batch	fortran_ns	native_ns	ratio	status
SAME	A0	A0_real	1024	28.992	163.869	5.6522	FAIL
SAME	A0	A0_negative_axis	1024	29.866	165.900	5.5549	FAIL
SAME	A0	A0_complex	1024	66.629	190.118	2.8534	FAIL
SAME	A0	A0_scaleless	1024	10.198	132.285	12.9720	FAIL
SAME	A0	A0_complex_mu_0.01	1024	66.268	189.144	2.8542	FAIL
SAME	A0	A0_complex_mu_10000	1024	66.219	190.706	2.8799	FAIL
HETERO	A0	all	1024	46.415	172.883	3.7248	FAIL
SAME	B0	B0_euclidean	1024	101.079	237.714	2.3518	FAIL
SAME	B0	B0_timelike	1024	108.119	235.271	2.1760	FAIL
SAME	B0	B0_complex	1024	277.402	384.986	1.3878	PASS
SAME	B0	B0_one_massless_onshell	1024	32.783	177.130	5.4032	FAIL
SAME	B0	B0_scaleless	1024	12.021	136.949	11.3925	FAIL
SAME	B0	B0_timelike_mu_0.01	1024	110.169	241.558	2.1926	FAIL
SAME	B0	B0_timelike_mu_10000	1024	110.435	240.645	2.1791	FAIL
HETERO	B0	all	1024	109.234	237.860	2.1775	FAIL
SAME	dB0	dB0_euclidean	1024	118.885	252.974	2.1279	FAIL
SAME	dB0	dB0_timelike	1024	117.706	251.937	2.1404	FAIL
SAME	dB0	dB0_complex	1024	232.993	435.979	1.8712	FAIL
SAME	dB0	dB0_one_massless_onshell	1024	38.428	177.430	4.6172	FAIL
SAME	dB0	dB0_timelike_mu_0.01	1024	119.407	258.683	2.1664	FAIL
SAME	dB0	dB0_timelike_mu_10000	1024	119.295	257.931	2.1621	FAIL
HETERO	dB0	all	1024	124.626	272.884	2.1896	FAIL
SAME	C0	C0_real_euclidean	1024	3340.030	4215.044	1.2620	PASS
SAME	C0	C0_real_timelike	1024	2024.792	3726.656	1.8405	FAIL
SAME	C0	C0_complex	1024	3452.840	4567.425	1.3228	PASS
SAME	C0	C0_massless_ir	1024	83.134	179.815	2.1629	FAIL
SAME	C0	C0_complex_mu_0.01	1024	3461.239	4601.990	1.3296	PASS
SAME	C0	C0_complex_mu_10000	1024	3437.016	4520.598	1.3153	PASS
HETERO	C0	all	1024	2665.234	3672.767	1.3780	PASS
SAME	D0	D0_real_euclidean	1024	5561.578	5087.957	0.9148	PASS
SAME	D0	D0_real_timelike	1024	959.491	4022.866	4.1927	FAIL
SAME	D0	D0_complex	1024	40044.697	64878.169	1.6201	FAIL
SAME	D0	D0_massless_ir	1024	88.143	213.030	2.4169	FAIL
SAME	D0	D0_complex_mu_0.01	1024	40018.376	65222.685	1.6298	FAIL
SAME	D0	D0_complex_mu_10000	1024	39966.271	64715.356	1.6192	FAIL
HETERO	D0	all	1024	21170.537	34070.257	1.6093	FAIL
